2024-11-24 06:53:07,582 - WARNING - Failed to process frame
2024-11-24 06:53:07,589 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,589 - WARNING - Failed to process frame
2024-11-24 06:53:07,596 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,596 - WARNING - Failed to process frame
2024-11-24 06:53:07,604 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,604 - WARNING - Failed to process frame
2024-11-24 06:53:07,614 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,614 - WARNING - Failed to process frame
2024-11-24 06:53:07,621 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,621 - WARNING - Failed to process frame
2024-11-24 06:53:07,628 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,628 - WARNING - Failed to process frame
2024-11-24 06:53:07,636 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,636 - WARNING - Failed to process frame
2024-11-24 06:53:07,643 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,643 - WARNING - Failed to process frame
2024-11-24 06:53:07,650 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,650 - WARNING - Failed to process frame
2024-11-24 06:53:07,658 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,658 - WARNING - Failed to process frame
2024-11-24 06:53:07,665 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,665 - WARNING - Failed to process frame
2024-11-24 06:53:07,672 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,672 - WARNING - Failed to process frame
2024-11-24 06:53:07,679 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,680 - WARNING - Failed to process frame
2024-11-24 06:53:07,687 - ERROR - Frame processing error: [Errno 32] Broken pipe
2024-11-24 06:53:07,687 - WARNING - Failed to process frame
